Date,Open,High,Low,Close,Turnover ,Close-High,Close-Avg(High_Low),Turnover_Ratio
28-Mar-18,10143.6,10158.35,10096.9,10113.7,18807.48,-44.65,-13.925,0.682877005
02-Apr-18,10151.65,10220.1,10127.75,10211.8,10968.95,-8.3,37.875,-0.416777261
03-Apr-18,10186.85,10255.35,10171.05,10245,10167.12,-10.35,31.8,-0.073099978
04-Apr-18,10274.6,10279.85,10111.3,10128.4,11861.79,-151.45,-67.175,0.16668142
05-Apr-18,10228.45,10331.8,10227.45,10325.15,11674.92,-6.65,45.525,-0.015753946
06-Apr-18,10322.75,10350.45,10290.85,10331.6,10131.74,-18.85,10.95,-0.132179064
09-Apr-18,10333.7,10397.7,10328.5,10379.35,10714.13,-18.35,16.25,0.057481736
10-Apr-18,10412.9,10424.85,10381.5,10402.25,11905.12,-22.6,-0.925,0.111160682
11-Apr-18,10428.15,10428.15,10355.6,10417.15,11790.58,-11,25.275,-0.009621071
12-Apr-18,10410.65,10469.9,10395.25,10458.65,12249.66,-11.25,26.075,0.038936168
13-Apr-18,10495.3,10519.9,10451.45,10480.6,12354.55,-39.3,-5.075,0.008562687
16-Apr-18,10398.3,10540.15,10396.35,10528.35,11242.05,-11.8,60.1,-0.090047796
17-Apr-18,10557.3,10560.45,10495.65,10548.7,10501.71,-11.75,20.65,-0.065854537
18-Apr-18,10578.9,10594.2,10509.7,10526.2,9888.65,-68,-25.75,-0.05837716
19-Apr-18,10563.65,10572.2,10546.2,10565.3,12559.11,-6.9,6.1,0.270053041
20-Apr-18,10560.35,10582.35,10527.45,10564.05,15372.66,-18.3,9.15,0.224024632
23-Apr-18,10592.8,10638.35,10514.95,10584.7,13642.67,-53.65,8.05,-0.112536802
24-Apr-18,10578.1,10636.8,10569,10614.35,12281.53,-22.45,11.45,-0.099770793
25-Apr-18,10612.4,10612.6,10536.45,10570.55,11125.11,-42.05,-3.975,-0.094159278
26-Apr-18,10586.5,10628.4,10559.65,10617.8,19200.41,-10.6,23.775,0.725862486
27-Apr-18,10651.65,10719.8,10647.55,10692.3,16886.89,-27.5,8.625,-0.12049326
30-Apr-18,10705.75,10759,10704.6,10739.35,10412.57,-19.65,7.55,-0.383393271
02-May-18,10783.85,10784.65,10689.8,10718.05,14820.58,-66.6,-19.175,0.423335449
03-May-18,10720.15,10720.6,10647.45,10679.65,11018.21,-40.95,-4.375,-0.256560135
04-May-18,10700.45,10700.45,10601.6,10618.25,9721.56,-82.2,-32.775,-0.117682455
07-May-18,10653.15,10725.65,10635.65,10715.5,9239.44,-10.15,34.85,-0.049592864
08-May-18,10757.9,10758.55,10689.4,10717.8,12783.49,-40.75,-6.175,0.383578442
09-May-18,10693.35,10766.25,10689.85,10741.7,10390.92,-24.55,13.65,-0.18716094
10-May-18,10779.65,10785.55,10705,10716.55,10526.38,-69,-28.725,0.013036382
11-May-18,10741.95,10812.05,10724.45,10806.5,10432.43,-5.55,38.25,-0.008925196
14-May-18,10815.15,10834.85,10774.75,10806.6,9075.44,-28.25,1.8,-0.130074201
15-May-18,10812.6,10929.2,10781.4,10801.85,13582.7,-127.35,-53.45,0.496643689
16-May-18,10751.95,10790.45,10699.7,10741.1,11359.48,-49.35,-3.975,-0.16368027
17-May-18,10775.6,10777.25,10664.5,10682.7,12506.3,-94.55,-38.175,0.100957086
18-May-18,10671.85,10674.95,10589.1,10596.4,13908.47,-78.55,-35.625,0.112117093
21-May-18,10616.7,10621.7,10505.8,10516.7,11346.13,-105,-47.05,-0.184228747
22-May-18,10518.45,10558.6,10490.55,10536.7,12017.36,-21.9,12.125,0.059159379
23-May-18,10521.1,10533.55,10417.8,10430.35,13456.6,-103.2,-45.325,0.119763409
24-May-18,10464.85,10535.15,10419.8,10513.85,12914.16,-21.3,36.375,-0.040310331
25-May-18,10533.05,10628.05,10524,10605.15,12431.16,-22.9,29.125,-0.037400807
28-May-18,10648.35,10709.8,10640.55,10688.65,11764.35,-21.15,13.475,-0.053640207
29-May-18,10689.4,10717.25,10616.1,10633.3,11817.39,-83.95,-33.375,0.004508536
30-May-18,10579,10648.7,10558.45,10614.35,12224.76,-34.35,10.775,0.034472079
31-May-18,10670.1,10763.8,10620.4,10736.15,29479.77,-27.65,44.05,1.411480471
01-Jun-18,10738.45,10764.75,10681.5,10696.2,12965.01,-68.55,-26.925,-0.560206542
04-Jun-18,10765.95,10770.3,10618.35,10628.5,14120.49,-141.8,-65.825,0.089122955
05-Jun-18,10630.7,10633.15,10550.9,10593.15,10027.54,-40,1.125,-0.289858921
06-Jun-18,10603.45,10698.35,10587.5,10684.65,9920.75,-13.7,41.725,-0.010649671
07-Jun-18,10722.6,10818,10722.6,10768.35,11315.24,-49.65,-1.95,0.140562961
08-Jun-18,10736.4,10779.45,10709.05,10767.65,12360.88,-11.8,23.4,0.092409883
11-Jun-18,10781.85,10850.55,10777.05,10786.95,11384.97,-63.6,-26.85,-0.078951499
12-Jun-18,10816.15,10856.55,10789.4,10842.85,11989.07,-13.7,19.875,0.053061185
13-Jun-18,10887.5,10893.25,10842.65,10856.7,12982.8,-36.55,-11.25,0.082886329
14-Jun-18,10832.9,10833.7,10773.55,10808.05,11659.79,-25.65,4.425,-0.101904828
15-Jun-18,10808.65,10834,10755.4,10817.7,19271.43,-16.3,23,0.652811071
18-Jun-18,10830.2,10830.2,10787.35,10799.85,11182.48,-30.35,-8.925,-0.419737923
19-Jun-18,10789.45,10789.45,10701.2,10710.45,12290.16,-79,-34.875,0.09905495
20-Jun-18,10734.65,10781.8,10724.05,10772.05,10858.35,-9.75,19.125,-0.116500517
21-Jun-18,10808.45,10809.6,10725.9,10741.1,12211.18,-68.5,-26.65,0.124588911
22-Jun-18,10742.7,10837,10710.45,10821.85,13520.01,-15.15,48.125,0.107182926
25-Jun-18,10822.9,10831.05,10753.05,10762.45,12012.41,-68.6,-29.6,-0.111508793
26-Jun-18,10742.7,10805.25,10732.55,10769.15,12113.53,-36.1,0.25,0.008417961
27-Jun-18,10785.5,10785.5,10652.4,10671.4,13837.03,-114.1,-47.55,0.142278923
28-Jun-18,10660.8,10674.2,10557.7,10589.1,20187.98,-85.1,-26.85,0.458982166
29-Jun-18,10612.85,10723.05,10612.35,10714.3,14440.17,-8.75,46.6,-0.284714469
02-Jul-18,10732.35,10736.15,10604.65,10657.3,13591.3,-78.85,-13.1,-0.058785319
03-Jul-18,10668.6,10713.3,10630.25,10699.9,10896.89,-13.4,28.125,-0.198245201
04-Jul-18,10715,10777.15,10677.75,10769.9,10388.69,-7.25,42.45,-0.04663716
05-Jul-18,10786.05,10786.05,10726.25,10749.75,13676.58,-36.3,-6.4,0.316487449
06-Jul-18,10744.15,10816.35,10735.05,10772.65,14006.48,-43.7,-3.05,0.024121527
09-Jul-18,10838.3,10860.35,10807.15,10852.9,10843.92,-7.45,19.15,-0.225792633
10-Jul-18,10902.75,10956.9,10876.65,10947.25,12834.85,-9.65,30.475,0.183598736
11-Jul-18,10956.4,10976.65,10923,10948.3,15944.45,-28.35,-1.525,0.242277861
12-Jul-18,11006.95,11078.3,10999.65,11023.2,15787.28,-55.1,-15.775,-0.009857348
13-Jul-18,11056.9,11071.35,10999.75,11018.9,14744.56,-52.45,-16.65,-0.06604811
16-Jul-18,11018.95,11019.5,10926.25,10936.85,13709.57,-82.65,-36.025,-0.070194702
17-Jul-18,10939.65,11018.5,10925.6,11008.05,12649.4,-10.45,36,-0.077330653
18-Jul-18,11060.2,11076.2,10956.3,10980.45,13320.2,-95.75,-35.8,0.053030183
19-Jul-18,10999.5,11006.5,10935.45,10957.1,12199.98,-49.4,-13.875,-0.084099338
20-Jul-18,10963.5,11030.25,10946.2,11010.2,14105.94,-20.05,21.975,0.156226486
23-Jul-18,11019.85,11093.4,11010.95,11084.75,14932.51,-8.65,32.575,0.0585973
24-Jul-18,11109,11143.4,11092.5,11134.3,13931.15,-9.1,16.35,-0.067059054
25-Jul-18,11148.4,11157.15,11113.25,11132,12528.8,-25.15,-3.2,-0.100662903
26-Jul-18,11132.95,11185.85,11125.7,11167.3,21595.33,-18.55,11.525,0.723655099
27-Jul-18,11232.75,11283.4,11210.25,11278.35,15203.09,-5.05,31.525,-0.296001034
30-Jul-18,11296.65,11328.1,11261.45,11319.55,14716.66,-8.55,24.775,-0.031995469
31-Jul-18,11311.05,11366,11267.75,11356.5,15297.4,-9.5,39.625,0.0394614
01-Aug-18,11359.8,11390.55,11313.55,11346.2,14436.12,-44.35,-5.85,-0.056302378
02-Aug-18,11328.9,11328.9,11234.95,11244.7,12267.66,-84.2,-37.225,-0.150210721
03-Aug-18,11297.8,11368,11294.55,11360.8,12984.66,-7.2,29.525,0.058446354
06-Aug-18,11401.5,11427.65,11370.6,11387.1,11321.55,-40.55,-12.025,-0.128082676
07-Aug-18,11423.15,11428.95,11359.7,11389.45,12457.71,-39.5,-4.875,0.10035375
08-Aug-18,11412.5,11459.95,11379.3,11450,12422.62,-9.95,30.375,-0.00281673
09-Aug-18,11493.25,11495.2,11454.1,11470.7,15842.76,-24.5,-3.95,0.275315513
10-Aug-18,11474.95,11478.75,11419.65,11429.5,15738.26,-49.25,-19.7,-0.006596073
13-Aug-18,11369.6,11406.3,11340.3,11355.75,12899.22,-50.55,-17.55,-0.180390971
14-Aug-18,11381.7,11452.45,11370.8,11435.1,13935.35,-17.35,23.475,0.080325012
16-Aug-18,11397.15,11449.85,11366.25,11385.05,17081.62,-64.8,-23,0.225776174
17-Aug-18,11437.15,11486.45,11431.8,11470.75,13275.31,-15.7,11.625,-0.222830739
20-Aug-18,11502.1,11565.3,11499.65,11551.75,14119.93,-13.55,19.275,0.063623373
21-Aug-18,11576.2,11581.75,11539.6,11570.9,13528.83,-10.85,10.225,-0.041862814
23-Aug-18,11620.7,11620.7,11546.7,11582.75,16117.77,-37.95,-0.95,0.191364663
24-Aug-18,11566.6,11604.6,11532,11557.1,13019.55,-47.5,-11.2,-0.192223862
27-Aug-18,11605.85,11700.95,11595.6,11691.95,11707.5,-9,43.675,-0.100775372
28-Aug-18,11731.95,11760.2,11710.5,11738.5,13946.7,-21.7,3.15,0.191262012
29-Aug-18,11744.95,11753.2,11678.85,11691.9,14324.65,-61.3,-24.125,0.027099601
30-Aug-18,11694.75,11698.8,11639.7,11676.8,18275.54,-22,7.55,0.275810578
31-Aug-18,11675.85,11727.65,11640.1,11680.5,20755.73,-47.15,-3.375,0.135710901
03-Sep-18,11751.8,11751.8,11567.4,11582.35,16139.58,-169.45,-77.25,-0.222403645
04-Sep-18,11598.75,11602.55,11496.85,11520.3,16254.78,-82.25,-29.4,0.007137732
05-Sep-18,11514.85,11542.65,11393.85,11476.95,15078.23,-65.7,8.7,-0.072381786
06-Sep-18,11514.15,11562.25,11436.05,11536.9,15161,-25.35,37.75,0.005489371
07-Sep-18,11558.25,11603,11484.4,11589.1,16441.02,-13.9,45.4,0.084428468
10-Sep-18,11570.25,11573,11427.3,11438.1,16513.89,-134.9,-62.05,0.004432207
11-Sep-18,11476.85,11479.4,11274,11287.5,18745.54,-191.9,-89.2,0.135137754
12-Sep-18,11340.1,11380.75,11250.2,11369.9,15567.9,-10.85,54.425,-0.169514455
14-Sep-18,11443.5,11523.25,11430.55,11515.2,16423.36,-8.05,38.3,0.05495025
17-Sep-18,11464.95,11464.95,11366.9,11377.75,11294.84,-87.2,-38.175,-0.31226984
18-Sep-18,11381.55,11411.45,11268.95,11278.9,13814.11,-132.55,-61.3,0.223046099
19-Sep-18,11326.65,11332.05,11210.9,11234.35,15116.69,-97.7,-37.125,0.094293443
21-Sep-18,11271.3,11346.8,10866.45,11143.1,35131.19,-203.7,36.475,1.324000161
24-Sep-18,11164.4,11170.15,10943.6,10967.4,23023.34,-202.75,-89.475,-0.344646737
25-Sep-18,10969.95,11080.6,10882.85,11067.45,22878.57,-13.15,85.725,-0.006287967
